system:time_start,LST_L4,LST_L5,LST_L7,LST_L8,LST_L9
"Jul 19, 2003",,,,,
"Jul 27, 2003",,,,,
"Aug 4, 2003",,,,,
"Aug 12, 2003",,,304.187,,
"Aug 20, 2003",,,,,
"Aug 28, 2003",,,,,
"Sep 5, 2003",,303.873,,,
"May 2, 2004",,295.896,,,
"May 10, 2004",,,,,
"May 18, 2004",,296.773,,,
"May 26, 2004",,,296.713,,
"Jun 3, 2004",,302.143,,,
"Jun 11, 2004",,,,,
"Jun 19, 2004",,,,,
"Jul 13, 2004",,,,,
"Jul 21, 2004",,304.563,,,
"Jul 29, 2004",,,,,
"Aug 6, 2004",,305.082,,,
"Aug 14, 2004",,,300.056,,
"Aug 22, 2004",,299.33,,,
"Aug 30, 2004",,,297.927,,
"Sep 7, 2004",,297.961,,,
"Sep 23, 2004",,300.28,,,
"May 5, 2005",,299.785,,,
"May 21, 2005",,,,,
"May 29, 2005",,,,,
"Jun 6, 2005",,303.639,,,
"Jun 22, 2005",,310.815,,,
"Jun 30, 2005",,,,,
"Jul 8, 2005",,,,,
"Jul 16, 2005",,,,,
"Jul 24, 2005",,,,,
"Aug 1, 2005",,,305.183,,
"Aug 9, 2005",,297.994,,,
"Aug 17, 2005",,,,,
"Aug 25, 2005",,301.929,,,
"Sep 2, 2005",,,299.07,,
"Sep 10, 2005",,305.793,,,
"Sep 18, 2005",,,298.426,,
"Sep 26, 2005",,295.374,,,
"May 16, 2006",,,,,
"May 24, 2006",,,,,
"Jun 1, 2006",,,,,
"Jun 17, 2006",,,298.259,,
"Jun 25, 2006",,294.141,,,
"Jul 3, 2006",,,302.784,,
"Jul 11, 2006",,,,,
"Jul 27, 2006",,308.086,,,
"Aug 4, 2006",,,303.973,,
"Aug 12, 2006",,302.205,,,
"Aug 20, 2006",,,303.421,,
"Sep 5, 2006",,,300.454,,
"Sep 29, 2006",,,,,
"May 3, 2007",,,,,
"May 11, 2007",,303.048,,,
"May 19, 2007",,,301.431,,
"May 27, 2007",,300.07,,,
"Jun 4, 2007",,,298.866,,
"Jun 12, 2007",,309.645,,,
"Jun 20, 2007",,,305.131,,
"Jul 6, 2007",,,306.55,,
"Jul 14, 2007",,291.959,,,
"Jul 22, 2007",,,,,
"Jul 30, 2007",,309.73,,,
"Aug 7, 2007",,,,,
"Aug 15, 2007",,299.394,,,
"Aug 31, 2007",,302.538,,,
"Sep 8, 2007",,,,,
"Sep 16, 2007",,296.517,,,
"Sep 24, 2007",,,,,
"May 5, 2008",,,285.825,,
"May 21, 2008",,,296.982,,
"Jun 6, 2008",,,,,
"Jun 14, 2008",,302.168,,,
"Jun 22, 2008",,,,,
"Jun 30, 2008",,306.816,,,
"Jul 8, 2008",,,306.252,,
"Jul 16, 2008",,,,,
"Jul 24, 2008",,,,,
"Aug 1, 2008",,306.089,,,
"Aug 9, 2008",,,304.869,,
"Aug 17, 2008",,295.438,,,
"Aug 25, 2008",,,300.656,,
"Sep 10, 2008",,,,,
"Sep 18, 2008",,296.366,,,
"Sep 26, 2008",,,299.197,,
"May 8, 2009",,,,,
"May 16, 2009",,292.599,,,
"May 24, 2009",,,301.203,,
"Jun 1, 2009",,297.166,,,
"Jun 17, 2009",,,,,
"Jun 25, 2009",,,305.624,,
"Jul 3, 2009",,298.424,,,
"Jul 11, 2009",,,302.644,,
"Jul 19, 2009",,296.498,,,
"Jul 27, 2009",,,,,
"Aug 4, 2009",,302.267,,,
"Aug 12, 2009",,,,,
"Aug 28, 2009",,,,,
"Sep 5, 2009",,301.017,,,
"Sep 13, 2009",,,301.685,,
"Sep 21, 2009",,,,,
"Sep 29, 2009",,,,,
"May 19, 2010",,305.026,,,
"May 27, 2010",,,302.161,,
"Jun 4, 2010",,,,,
"Jun 20, 2010",,,,,
"Jul 6, 2010",,,,,
"Aug 7, 2010",,,,,
"Aug 15, 2010",,,299.343,,
"Aug 23, 2010",,305.628,,,
"Aug 31, 2010",,,,,
"Sep 8, 2010",,,,,
"Oct 2, 2010",,,286.259,,
"May 6, 2011",,,,,
"May 30, 2011",,,,,
"Jun 7, 2011",,314.808,,,
"Jul 1, 2011",,,304.831,,
"Jul 9, 2011",,,,,
"Jul 17, 2011",,,,,
"Jul 25, 2011",,309.242,,,
"Aug 2, 2011",,,,,
"Aug 10, 2011",,303.522,,,
"Aug 18, 2011",,,302.331,,
"Aug 26, 2011",,299.763,,,
"Sep 3, 2011",,,,,
"Sep 11, 2011",,305.087,,,
"Sep 19, 2011",,,294.578,,
"Sep 27, 2011",,,,,
"Jun 1, 2012",,,296.994,,
"Jun 17, 2012",,,,,
"Jul 3, 2012",,,310.252,,
"Aug 4, 2012",,,,,
"Aug 20, 2012",,,300.787,,
"Sep 5, 2012",,,300.725,,
"Sep 21, 2012",,,,,
"May 3, 2013",,,,,
"May 11, 2013",,,,,
"May 19, 2013",,,291.612,,
"Jun 12, 2013",,,,,
"Jun 20, 2013",,,,,
"Jun 28, 2013",,,,,
"Jul 6, 2013",,,,,
"Jul 14, 2013",,,,,
"Jul 22, 2013",,,,,
"Aug 15, 2013",,,,299.913,
"Aug 23, 2013",,,305.174,,
"Aug 31, 2013",,,,303.258,
"Sep 8, 2013",,,,,
"Sep 16, 2013",,,,293.984,
"Sep 24, 2013",,,295.722,,
"Oct 2, 2013",,,,290.813,
"May 6, 2014",,,,,
"May 14, 2014",,,,297.32,
"May 22, 2014",,,,,
"May 30, 2014",,,,305.14,
"Jun 7, 2014",,,,,
"Jun 15, 2014",,,,295.035,
"Jun 23, 2014",,,,,
"Jul 1, 2014",,,,,
"Jul 9, 2014",,,299.809,,
"Jul 17, 2014",,,,302.955,
"Jul 25, 2014",,,,,
"Aug 2, 2014",,,,306.262,
"Aug 10, 2014",,,,,
"Aug 18, 2014",,,,,
"Aug 26, 2014",,,298.641,,
"Sep 3, 2014",,,,,
"Sep 11, 2014",,,,,
"Sep 19, 2014",,,,293.271,
"May 9, 2015",,,296.299,,
"May 17, 2015",,,,,
"Jun 2, 2015",,,,291.865,
"Jun 10, 2015",,,302.483,,
"Jun 18, 2015",,,,299.859,
"Jun 26, 2015",,,,,
"Jul 4, 2015",,,,304.77,
"Jul 12, 2015",,,,,
"Jul 20, 2015",,,,303.282,
"Jul 28, 2015",,,,,
"Aug 5, 2015",,,,302.546,
"Aug 13, 2015",,,,,
"Aug 21, 2015",,,,,
"Aug 29, 2015",,,,,
"Sep 6, 2015",,,,,
"Sep 14, 2015",,,299.626,,
"Sep 22, 2015",,,,,
"May 3, 2016",,,,,
"May 19, 2016",,,,300.495,
"Jun 4, 2016",,,,,
"Jun 20, 2016",,,,304.623,
"Jun 28, 2016",,,,,
"Jul 6, 2016",,,,307.317,
"Jul 22, 2016",,,,313.929,
"Jul 30, 2016",,,,,
"Aug 7, 2016",,,,,
"Aug 15, 2016",,,,,
"Aug 23, 2016",,,,293.984,
"Aug 31, 2016",,,300.643,,
"Sep 8, 2016",,,,299.601,
"Sep 16, 2016",,,,,
"Sep 24, 2016",,,,,
"May 6, 2017",,,,298.793,
"May 14, 2017",,,301.235,,
"May 22, 2017",,,,,
"Jun 7, 2017",,,,294.372,
"Jun 15, 2017",,,306.362,,
"Jun 23, 2017",,,,297.778,
"Jul 1, 2017",,,,,
"Jul 9, 2017",,,,,
"Jul 17, 2017",,,306.785,,
"Jul 25, 2017",,,,300.385,
"Aug 2, 2017",,,303.047,,
"Aug 10, 2017",,,,,
"Sep 3, 2017",,,295.397,,
"Sep 11, 2017",,,,298.268,
"Sep 19, 2017",,,297.696,,
"Sep 27, 2017",,,,292.225,
"May 17, 2018",,,304.468,,
"May 25, 2018",,,,301.332,
"Jul 4, 2018",,,,,
"Jul 12, 2018",,,,,
"Jul 20, 2018",,,,,
"Jul 28, 2018",,,,298.408,
"Aug 5, 2018",,,304.412,,
"Aug 13, 2018",,,,308.256,
"Aug 29, 2018",,,,295.747,
"Sep 6, 2018",,,296.479,,
"Sep 14, 2018",,,,300.569,
"Sep 22, 2018",,,291.08,,
"May 4, 2019",,,299.552,,
"May 12, 2019",,,,293.845,
"May 20, 2019",,,293.561,,
"May 28, 2019",,,,,
"Jun 5, 2019",,,301.082,,
"Jun 13, 2019",,,,300.73,
"Jun 21, 2019",,,,,
"Jun 29, 2019",,,,,
"Jul 7, 2019",,,303.407,,
"Jul 15, 2019",,,,,
"Jul 23, 2019",,,301.147,,
"Jul 31, 2019",,,,301.575,
"Aug 8, 2019",,,301.777,,
"Aug 16, 2019",,,,,
"Aug 24, 2019",,,,,
"Sep 1, 2019",,,,,
"Sep 17, 2019",,,,,
"Sep 25, 2019",,,293.914,,
"May 6, 2020",,,284.832,,
"May 14, 2020",,,,,
"May 30, 2020",,,,299.181,
"Jun 7, 2020",,,303.854,,
"Jun 15, 2020",,,,,
"Jun 23, 2020",,,299.549,,
"Jul 1, 2020",,,,,
"Jul 17, 2020",,,,,
"Aug 2, 2020",,,,,
"Aug 18, 2020",,,,302.62,
"Aug 26, 2020",,,309.062,,
"Sep 3, 2020",,,,,
"Sep 11, 2020",,,,,
"Sep 19, 2020",,,,294.989,
"Sep 27, 2020",,,,,
"May 9, 2021",,,,,
"May 17, 2021",,,,304.138,
"May 25, 2021",,,,,
"Jun 2, 2021",,,,,
"Jun 10, 2021",,,306.205,,
"Jun 18, 2021",,,,310.168,
"Jul 4, 2021",,,,305.102,
"Jul 12, 2021",,,303.987,,
"Jul 20, 2021",,,,307.939,
"Aug 5, 2021",,,,,
"Aug 13, 2021",,,299.746,,
"Aug 21, 2021",,,,,
"Aug 29, 2021",,,299.819,,
"Sep 6, 2021",,,,301.127,
"Sep 22, 2021",,,,295.377,
"Sep 30, 2021",,,296.757,,
"May 4, 2022",,,,292.594,
"May 11, 2022",,,,,
"May 12, 2022",,,,,
"May 20, 2022",,,,,
"May 28, 2022",,,295.623,,
"May 28, 2022",,,,,301.744
"Jun 5, 2022",,,,,
"Jun 14, 2022",,,303.001,,
"Jun 21, 2022",,,,304.502,
"Jun 29, 2022",,,,,308.798
"Jul 1, 2022",,,300.716,,
"Jul 7, 2022",,,,,
"Jul 15, 2022",,,,,304.024
"Jul 18, 2022",,,,,
"Jul 31, 2022",,,,,300.108
"Aug 4, 2022",,,,,
"Aug 8, 2022",,,,,
"Aug 16, 2022",,,,,
"Aug 21, 2022",,,,,
"Aug 24, 2022",,,,,
"Sep 1, 2022",,,,,307.337
"Sep 7, 2022",,,298.941,,
"Sep 17, 2022",,,,,
"Sep 24, 2022",,,,,
"Sep 25, 2022",,,,294.427,
