system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,max_LST,.geo
00000000000000000018,166,31076,2395429,02395429,Inver Grove Heights,C,2,7.77207985319E7,46483.7111423,{LST=107.07100768184377},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,334,59350,2395854,02395854,Shakopee,C,2,7.71773870599E7,53699.9442595,{LST=107.62515295150438},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,284,51730,2396242,02396242,Plymouth,C,2,9.13786420497E7,44381.9685344,{LST=107.84128381170159},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,266,47221,2395261,02395261,North St. Paul,C,2,7798545.50143,13204.8591164,{LST=103.87047922092013},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,100,18188,2394621,02394621,Edina,C,2,4.13790209677E7,29263.8058864,{LST=105.60975991647275},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,176,34622,2395609,02395609,Lakeland,C,2,7612546.00337,16009.9741459,{LST=102.45837728392534},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,28,06382,2394183,02394183,Blaine,C,2,8.8150930446E7,48775.1335124,{LST=104.16992022004098},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,374,68548,2397211,02397211,Watertown,C,2,6880320.61028,26571.8487223,{LST=105.65592149647267},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,8,01900,2393967,02393967,Apple Valley,C,2,4.52471368628E7,27901.6911122,{LST=105.9431772652752},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,392,71428,2397369,02397369,Woodbury,C,2,9.24828505268E7,40908.9526087,{LST=104.53833539926556},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,132,25918,2394245,02394245,Greenwood,C,2,2674733.69456,7432.55405561,{LST=103.7105025123415},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,366,67036,2397135,02397135,Victoria,C,2,2.78318301237E7,27296.1790053,{LST=105.56126383993035},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,264,47104,2395259,02395259,North Oaks,C,2,2.22968414305E7,20515.5752667,{LST=102.28173176513853},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,126,25334,2394963,02394963,Grant,C,2,6.8659214547E7,43291.8454494,{LST=103.5519973395074},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,170,32174,2395483,02395483,Jordan,C,2,8461537.10044,23188.0689908,{LST=104.83397242048534},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,314,56950,2396487,02396487,St. Francis,C,2,6.05548196113E7,50326.924315,{LST=105.00788107349355},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,306,55852,2396435,02396435,Roseville,C,2,3.58286464539E7,25828.4992709,{LST=104.58723370363089},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,290,53098,2396316,02396316,Randolph,C,2,2560744.74771,6403.53488289,{LST=102.94531837262434},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,74,13168,2393634,02393634,Corcoran,C,2,9.33964395537E7,40925.1981443,{LST=105.39839386699633},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,348,62014,2395935,02395935,Spring Park,C,2,1567284.47614,6590.21081944,{LST=104.93233042384726},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,138,26666,2394274,02394274,Hamburg,C,2,520164.074132,6274.66969164,{LST=106.03535100857927},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,288,53026,2396311,02396311,Ramsey,C,2,7.72775580982E7,46587.3927579,{LST=105.1114528613414},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,274,47914,2395285,02395285,Oak Park Heights,C,2,8771323.63472,23287.9648076,{LST=103.3372038087108},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,224,41678,2395096,02395096,Mendota,C,2,781562.210733,5128.54843975,{LST=102.51728143410166},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,44,10144,2393762,02393762,Carver,C,2,1.1986888743E7,27459.7654482,{LST=104.65524498083546},"{""type"":""MultiPoint"",""coordinates"":[]}"
