system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,mean_LST,.geo
00000000000000000007,162,30392,2394440,02394440,Hugo,C,1,9.32252614911E7,38590.4398174,{LST=89.96571380997592},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,184,35414,2395626,02395626,Landfall,C,1,213686.311085,2302.569273,{LST=95.66624497561804},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,182,35180,2395614,02395614,Lakeville,C,1,9.93702531348E7,46526.406198,{LST=92.80422530759685},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,280,49012,2396098,02396098,Osseo,C,1,1911800.811,7006.86934425,{LST=96.12880977452343},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,164,30842,2395420,02395420,Independence,C,1,8.94421562938E7,45324.7585638,{LST=90.52512051543154},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,340,61492,2395918,02395918,South St. Paul,C,1,1.61613825454E7,24641.9976307,{LST=93.85669113304373},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,384,69970,2397299,02397299,White Bear Lake,C,1,2.22668781376E7,39555.9703137,{LST=92.77779221748129},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,52,10846,2393797,02393797,Champlin,C,1,2.26713289051E7,24428.3410566,{LST=92.75486054084469},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,228,42092,2395317,02395317,Miesville,C,1,4499604.34813,9219.89202385,{LST=86.9455764448951},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,378,68818,2397235,02397235,Wayzata,C,1,1.21203866089E7,23243.7245263,{LST=92.56206965781797},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,146,26990,2394288,02394288,Hanover,C,1,5535620.66107,12766.3894613,{LST=90.47848557816192},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,196,37502,2395733,02395733,Little Canada,C,1,1.16040956618E7,16125.0664043,{LST=93.40338782083082},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,342,61996,2395934,02395934,Spring Lake Park,C,1,5419705.16967,10156.3033635,{LST=94.52505064583845},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,352,62824,2395969,02395969,Stillwater,C,1,2.35471426896E7,26252.1347205,{LST=91.48540702293421},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,4,01486,2393954,02393954,Andover,C,1,9.02095775317E7,46098.4619168,{LST=91.38661024088411},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,338,60016,2395877,02395877,Shorewood,C,1,2.10989369932E7,39194.0874759,{LST=91.53407442778604},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,218,41138,2395049,02395049,Mayer,C,1,3648495.5856,13620.8552158,{LST=92.92675596158874},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,320,57292,2396508,02396508,St. Marys Point,C,1,994980.771689,4730.89869516,{LST=89.5560962339689},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,156,29258,2394389,02394389,Hilltop,C,1,316323.128937,2396.14596633,{LST=96.04389256426148},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,190,37016,2395708,02395708,Lilydale,C,1,2305206.77643,12757.2809417,{LST=91.0674421986224},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,212,40562,2395007,02395007,Marine on St. Croix,C,1,1.08211692571E7,15464.7793958,{LST=89.09613651659731},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,282,51316,2396211,02396211,Pine Springs,C,1,2339307.54891,7056.29673273,{LST=91.22962188419285},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,230,43000,2395345,02395345,Minneapolis,C,1,1.48630870819E8,61855.6521444,{LST=95.30800181373301},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,62,11494,2393526,02393526,Circle Pines,C,1,5029801.56075,10447.2183197,{LST=91.53640153122653},"{""type"":""MultiPoint"",""coordinates"":[]}"
