system:index,CTU_NAME,sq_miles,.geo
00000000000000000000,Anoka,"{groups=[{tempbin=1, sum=0.8092730595255281}, {tempbin=2, sum=0.4406618838439253}, {tempbin=3, sum=1.5408985847521601}, {tempbin=4, sum=1.3347935030213134}, {tempbin=5, sum=2.573567942749194}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,"{groups=[{tempbin=1, sum=4.270150298668567}, {tempbin=2, sum=1.8597497636421234}, {tempbin=3, sum=3.3212897447124883}, {tempbin=4, sum=0.5932994635404054}, {tempbin=5, sum=0.49612555994710816}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,"{groups=[{tempbin=1, sum=8.487297064537243}, {tempbin=2, sum=1.269336926933901}, {tempbin=3, sum=3.248491989584238}, {tempbin=4, sum=1.0534492702480949}, {tempbin=5, sum=0.6222192276148111}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,"{groups=[{tempbin=1, sum=12.170013591452632}, {tempbin=2, sum=0.9713182411811633}, {tempbin=3, sum=0.9707987218564743}, {tempbin=4, sum=0.28986043535947126}, {tempbin=5, sum=0.19988466806238994}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,"{groups=[{tempbin=1, sum=1.5883003216507128}, {tempbin=2, sum=1.8128778913519201}, {tempbin=3, sum=3.9739073820681763}, {tempbin=4, sum=0.914243344232791}, {tempbin=5, sum=1.8624281264281701}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,"{groups=[{tempbin=1, sum=3.7935241331197234}, {tempbin=2, sum=2.010353001951026}, {tempbin=3, sum=2.490686005339308}, {tempbin=4, sum=0.39473660929932686}, {tempbin=5, sum=0.5220747165274456}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,"{groups=[{tempbin=1, sum=0.10009592093023677}, {tempbin=2, sum=0.043671927805993535}, {tempbin=3, sum=0.07090539862219841}, {tempbin=4, sum=0.027478754273638915}, {tempbin=5, sum=0.041216255406079025}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,"{groups=[{tempbin=1, sum=30.442961179615445}, {tempbin=2, sum=0.5792225746401158}, {tempbin=3, sum=0.35645792304314655}, {tempbin=4, sum=0.03626748805698854}, {tempbin=5, sum=0.02245247430957644}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,"{groups=[{tempbin=1, sum=7.08664217913797}, {tempbin=2, sum=6.173717897316234}, {tempbin=3, sum=10.885269100231353}, {tempbin=4, sum=2.791931433942065}, {tempbin=5, sum=4.482365169937273}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,"{groups=[{tempbin=1, sum=1.6200325291357733}, {tempbin=2, sum=1.6593673247562235}, {tempbin=3, sum=3.2800386125570493}, {tempbin=4, sum=0.5824199490754918}, {tempbin=5, sum=0.5917896699209491}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,"{groups=[{tempbin=1, sum=0.20187704654950553}, {tempbin=2, sum=0.39861775512257086}, {tempbin=3, sum=3.064174867630483}, {tempbin=4, sum=0.908175057428488}, {tempbin=5, sum=1.104791732248492}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,"{groups=[{tempbin=1, sum=0.08141416859800427}, {tempbin=2, sum=0.06792583716183469}, {tempbin=3, sum=0.6579094628970683}, {tempbin=4, sum=0.5443883621061754}, {tempbin=5, sum=0.6397836126976831}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,"{groups=[{tempbin=1, sum=0.11066629171882325}, {tempbin=2, sum=0.10181239891803573}, {tempbin=3, sum=0.07845324251901843}, {tempbin=4, sum=0.006886529370703122}, {tempbin=5, sum=0.007378505536431887}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Robbinsdale,"{groups=[{tempbin=1, sum=0.12478134261209088}, {tempbin=2, sum=0.14417337547650155}, {tempbin=3, sum=1.5954377696441673}, {tempbin=4, sum=0.5319410392447494}, {tempbin=5, sum=0.3551267647251888}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Chaska,"{groups=[{tempbin=1, sum=7.0777524952391735}, {tempbin=2, sum=2.292945183896891}, {tempbin=3, sum=4.8045481097697005}, {tempbin=4, sum=1.4733142170555633}, {tempbin=5, sum=1.160157004271973}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,North Oaks,"{groups=[{tempbin=1, sum=5.755052130495767}, {tempbin=2, sum=0.6316609445395214}, {tempbin=3, sum=0.3463304046420422}, {tempbin=4, sum=0.039494852239581255}, {tempbin=5, sum=0.05569397233406974}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,"{groups=[{tempbin=1, sum=0.20768739145328927}, {tempbin=2, sum=0.22931634457979652}, {tempbin=3, sum=0.21972546170002477}, {tempbin=4, sum=0.06734085979487918}, {tempbin=5, sum=0.11722871087731923}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,North St. Paul,"{groups=[{tempbin=1, sum=0.2996812963335385}, {tempbin=2, sum=0.4291506933301761}, {tempbin=3, sum=1.5056374419547516}, {tempbin=4, sum=0.2911006324623236}, {tempbin=5, sum=0.34047731556496635}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,Independence,"{groups=[{tempbin=1, sum=28.057146966352445}, {tempbin=2, sum=1.8258801604282817}, {tempbin=3, sum=0.945548056490843}, {tempbin=4, sum=0.0275103647029358}, {tempbin=5, sum=0.018665156960540767}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,Prior Lake,"{groups=[{tempbin=1, sum=7.120018463672891}, {tempbin=2, sum=2.538536437168612}, {tempbin=3, sum=4.188998767643894}, {tempbin=4, sum=1.1417841442409937}, {tempbin=5, sum=0.6028895879825248}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,Lexington,"{groups=[{tempbin=1, sum=0.0691221830703003}, {tempbin=2, sum=0.15908487855880718}, {tempbin=3, sum=0.2978289119234077}, {tempbin=4, sum=0.06593977533576033}, {tempbin=5, sum=0.09461751383644376}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,Oak Park Heights,"{groups=[{tempbin=1, sum=0.36518460114907814}, {tempbin=2, sum=0.3514187021071307}, {tempbin=3, sum=0.9641240625513404}, {tempbin=4, sum=0.49409148251859847}, {tempbin=5, sum=0.6549366518239648}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,Oakdale,"{groups=[{tempbin=1, sum=2.6030427920994756}, {tempbin=2, sum=2.082570216327489}, {tempbin=3, sum=4.071219998472913}, {tempbin=4, sum=1.0086494281397635}, {tempbin=5, sum=0.7003125182284653}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,Denmark Twp.,"{groups=[{tempbin=1, sum=26.856633868159637}, {tempbin=2, sum=0.8216183422180511}, {tempbin=3, sum=0.4785716669620648}, {tempbin=4, sum=0.12057208234447621}, {tempbin=5, sum=0.06803716845113525}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,St. Marys Point,"{groups=[{tempbin=1, sum=0.31325809788100156}, {tempbin=2, sum=0.04798363807315068}, {tempbin=3, sum=0.012303703111267097}, {tempbin=4, sum=0.001230373586755371}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,Eureka Twp.,"{groups=[{tempbin=1, sum=32.44034134394388}, {tempbin=2, sum=0.9105371537425611}, {tempbin=3, sum=0.7917526983498556}, {tempbin=4, sum=0.23373015762985838}, {tempbin=5, sum=0.2258169934964726}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Wayzata,"{groups=[{tempbin=1, sum=1.4327553932595218}, {tempbin=2, sum=0.5332038243287502}, {tempbin=3, sum=0.606691538201075}, {tempbin=4, sum=0.22640801293723775}, {tempbin=5, sum=0.11603278408436239}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Jackson Twp.,"{groups=[{tempbin=1, sum=3.8346356214076107}, {tempbin=2, sum=0.6621329460621758}, {tempbin=3, sum=0.8678493099058837}, {tempbin=4, sum=0.24026362150352776}, {tempbin=5, sum=0.18747697076367167}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,Empire Twp.,"{groups=[{tempbin=1, sum=25.666939234403863}, {tempbin=2, sum=1.714406440925615}, {tempbin=3, sum=2.2920161127677328}, {tempbin=4, sum=0.7313218854312779}, {tempbin=5, sum=1.09067658263861}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,Minnetonka,"{groups=[{tempbin=1, sum=9.731847794602166}, {tempbin=2, sum=6.618721579042685}, {tempbin=3, sum=5.860882777311005}, {tempbin=4, sum=1.3523505680167502}, {tempbin=5, sum=2.371904002779762}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,Jordan,"{groups=[{tempbin=1, sum=0.8978363539216947}, {tempbin=2, sum=0.4085042266559519}, {tempbin=3, sum=1.037460517035548}, {tempbin=4, sum=0.41267615463083396}, {tempbin=5, sum=0.28738356726198083}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
