system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
0000000000000000002d,New Brighton,{LST=97.94424498880029},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,Woodland,{LST=91.33370478224073},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,Birchwood Village,{LST=90.95403017400831},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,Afton,{LST=89.61164303554035},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,{LST=93.09729348502978},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,{LST=89.5763387985933},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,Lauderdale,{LST=99.25143858167874},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,Helena Twp.,{LST=88.53023652566766},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,Ramsey,{LST=97.11962832441384},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,Chanhassen,{LST=94.59319241299531},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,St. Paul Park,{LST=94.48912725503277},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,New Prague,{LST=94.69896375412605},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,Maplewood,{LST=96.52852803634771},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,Marshan Twp.,{LST=90.1967426672289},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,Grant,{LST=90.17130846257677},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,Bloomington,{LST=97.79062723461382},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,Richfield,{LST=100.36948303003598},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,Belle Plaine,{LST=93.48064572696975},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,Greenfield,{LST=90.5983226169232},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,Dayton,{LST=92.57578137632142},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Castle Rock Twp.,{LST=89.20339218045604},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,Minnetonka Beach,{LST=null},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,Waterford Twp.,{LST=89.96145742439063},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,San Francisco Twp.,{LST=89.47509821852069},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,Coates,{LST=89.55639423263506},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,Deephaven,{LST=92.94199142813942},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
