system:index,CTU_NAME,sq_miles,.geo
00000000000000000000,Anoka,"{groups=[{tempbin=1, sum=0.9412448715303876}, {tempbin=2, sum=0.974396281235891}, {tempbin=3, sum=3.2045199401023012}, {tempbin=4, sum=0.9971402170247882}, {tempbin=5, sum=0.5818936639987227}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,"{groups=[{tempbin=1, sum=5.717771376742177}, {tempbin=2, sum=2.5504387565971123}, {tempbin=3, sum=2.0086041127723067}, {tempbin=4, sum=0.24048166914552685}, {tempbin=5, sum=0.02331891525377199}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,"{groups=[{tempbin=1, sum=8.414912843105348}, {tempbin=2, sum=1.733120104290881}, {tempbin=3, sum=3.3927751203956067}, {tempbin=4, sum=0.7892304144857686}, {tempbin=5, sum=0.35075599664068036}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,"{groups=[{tempbin=1, sum=12.911612711498979}, {tempbin=2, sum=0.9421175940934571}, {tempbin=3, sum=0.5617458757328302}, {tempbin=4, sum=0.06815130101564937}, {tempbin=5, sum=0.11824817557164927}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,"{groups=[{tempbin=1, sum=1.968942057952877}, {tempbin=2, sum=3.386075562919165}, {tempbin=3, sum=3.333696620983142}, {tempbin=4, sum=0.8795986254737087}, {tempbin=5, sum=0.5834441984028456}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,"{groups=[{tempbin=1, sum=6.163373435843353}, {tempbin=2, sum=2.0009995602495168}, {tempbin=3, sum=0.9315078684174858}, {tempbin=4, sum=0.10662761521032724}, {tempbin=5, sum=0.00886598651607056}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,"{groups=[{tempbin=1, sum=0.093962307344458}, {tempbin=2, sum=0.05961921125333847}, {tempbin=3, sum=0.09691180270482795}, {tempbin=4, sum=0.027477674800817836}, {tempbin=5, sum=0.005397260934704589}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,"{groups=[{tempbin=1, sum=25.741369171265944}, {tempbin=2, sum=3.5033329011649728}, {tempbin=3, sum=1.5517300470407032}, {tempbin=4, sum=0.27530728803231785}, {tempbin=5, sum=0.3656222321609074}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,"{groups=[{tempbin=1, sum=9.446528319047145}, {tempbin=2, sum=7.4780889612919825}, {tempbin=3, sum=10.426039366548205}, {tempbin=4, sum=2.579827428139931}, {tempbin=5, sum=1.4894417055375235}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,"{groups=[{tempbin=1, sum=1.514089553142788}, {tempbin=2, sum=2.707440035076587}, {tempbin=3, sum=2.9715955643118686}, {tempbin=4, sum=0.4315244804572085}, {tempbin=5, sum=0.10899845245700679}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,"{groups=[{tempbin=1, sum=0.264512543773645}, {tempbin=2, sum=1.0371520629143889}, {tempbin=3, sum=3.144794357120768}, {tempbin=4, sum=0.508244993769835}, {tempbin=5, sum=0.7229325014009}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,"{groups=[{tempbin=1, sum=0.12800526220014083}, {tempbin=2, sum=0.29082463117262053}, {tempbin=3, sum=1.2037765249886168}, {tempbin=4, sum=0.29107955209515424}, {tempbin=5, sum=0.07773547300422368}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
