system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
00000000000000000000,Anoka,{LST=94.60693399614516},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,{LST=89.05937141570823},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,{LST=-41.98950648451928},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,{LST=-87.99418514182688},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,{LST=92.95963647512572},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,{LST=78.90218960536433},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,{LST=91.7591518375192},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,{LST=87.50803093675721},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,{LST=92.2116425115512},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,{LST=92.14292520432129},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,{LST=95.22590878798857},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,{LST=94.88237208630608},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,{LST=90.61321872780121},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Robbinsdale,{LST=94.52626494396456},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Chaska,{LST=90.03602058970257},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,North Oaks,{LST=84.80433217589923},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Long Lake,{LST=91.87702586175023},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,North St. Paul,{LST=93.4179578231754},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,Independence,{LST=80.79810335945844},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,Prior Lake,{LST=69.67238465246263},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,Lexington,{LST=91.1146326711759},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,Oak Park Heights,{LST=95.35197524895788},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,Oakdale,{LST=92.44109989987955},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,Denmark Twp.,{LST=75.16826090402081},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,St. Marys Point,{LST=87.90687406519993},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,Eureka Twp.,{LST=36.30312400012344},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Wayzata,{LST=88.22502706444811},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Jackson Twp.,{LST=70.49304683860669},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,Empire Twp.,{LST=22.614682944989376},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,Minnetonka,{LST=84.60529816608893},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,Jordan,{LST=79.11817397650157},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,Medicine Lake,{LST=87.82536807825915},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,Shorewood,{LST=86.73121288949757},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,Lilydale,{LST=35.72141053828722},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,Landfall,{LST=92.26996885255913},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,Medina,{LST=82.94257825598481},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Lake Elmo,{LST=88.22968532898336},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Lake St. Croix Beach,{LST=90.82798361907194},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,May Twp.,{LST=86.59605129223972},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,Greenvale Twp.,{LST=51.212385419614435},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,Carver,{LST=-13.325376407343034},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,Scandia,{LST=87.06421461260977},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,Dahlgren Twp.,{LST=78.92396989944983},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,Hampton,{LST=-46.05208106971567},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,Cologne,{LST=90.90823385828986},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,New Brighton,{LST=91.83587518407977},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,Woodland,{LST=84.17645665234093},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,Birchwood Village,{LST=86.21960737411368},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,Afton,{LST=39.83144142157872},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,{LST=89.58047727559823},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,{LST=87.16508198857444},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,Lauderdale,{LST=92.15122979279798},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,Helena Twp.,{LST=15.183075155690577},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,Ramsey,{LST=91.55264162557116},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,Chanhassen,{LST=90.14474423999887},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,St. Paul Park,{LST=-13.167430977548964},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,New Prague,{LST=43.56053556205513},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,Maplewood,{LST=72.27289545943654},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,Marshan Twp.,{LST=63.93989738965091},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,Grant,{LST=87.95223977565418},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,Bloomington,{LST=90.28207609466283},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,Richfield,{LST=95.0952389746903},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,Belle Plaine,{LST=53.71337893603748},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,Greenfield,{LST=84.2579393184744},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,Dayton,{LST=87.82076944343494},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Castle Rock Twp.,{LST=-3.1514584955006075},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,Minnetonka Beach,{LST=null},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,Waterford Twp.,{LST=57.09544124109161},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,San Francisco Twp.,{LST=54.033561629066064},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,Coates,{LST=79.27384442950884},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,Deephaven,{LST=85.10253912542443},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,Hilltop,{LST=97.12117806041249},95.17660004227002,5.738709734766688,"{""type"":""MultiPoint"",""coordinates"":[]}"
