system:index,CTU_NAME,sq_miles,.geo
00000000000000000014,Lexington,"{groups=[{tempbin=1, sum=0.14167725165483405}, {tempbin=2, sum=0.1990410364752866}, {tempbin=3, sum=0.2235579836907905}, {tempbin=4, sum=0.056624051861993305}, {tempbin=5, sum=0.06569293904181507}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,Oak Park Heights,"{groups=[{tempbin=1, sum=0.5776089066410864}, {tempbin=2, sum=0.5552390145356307}, {tempbin=3, sum=0.9029785445039241}, {tempbin=4, sum=0.2703733482523297}, {tempbin=5, sum=0.5235556862171421}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,Oakdale,"{groups=[{tempbin=1, sum=3.5439534503183463}, {tempbin=2, sum=2.092964268013953}, {tempbin=3, sum=3.556353200989115}, {tempbin=4, sum=0.590383714625573}, {tempbin=5, sum=0.6821403193210159}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,Denmark Twp.,"{groups=[{tempbin=1, sum=26.888738422904485}, {tempbin=2, sum=0.8882288064107112}, {tempbin=3, sum=0.38282237084783893}, {tempbin=4, sum=0.10478683145088492}, {tempbin=5, sum=0.08085669651996466}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,St. Marys Point,"{groups=[{tempbin=1, sum=0.35090678014359744}, {tempbin=2, sum=0.014026053877075208}, {tempbin=3, sum=0.00787437835702515}, {tempbin=4, sum=0.0019686002744750976}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,Eureka Twp.,"{groups=[{tempbin=1, sum=32.017073067289054}, {tempbin=2, sum=1.0753261026852765}, {tempbin=3, sum=0.8842679410235773}, {tempbin=4, sum=0.27280913930655964}, {tempbin=5, sum=0.3527020968575294}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Wayzata,"{groups=[{tempbin=1, sum=1.6451598966571885}, {tempbin=2, sum=0.4899284589985309}, {tempbin=3, sum=0.4759113634238361}, {tempbin=4, sum=0.18166704846311604}, {tempbin=5, sum=0.1224247852682551}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Jackson Twp.,"{groups=[{tempbin=1, sum=4.1765987626521515}, {tempbin=2, sum=0.651523163946413}, {tempbin=3, sum=0.7439578554000522}, {tempbin=4, sum=0.12999506217835688}, {tempbin=5, sum=0.09028362546589982}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,Empire Twp.,"{groups=[{tempbin=1, sum=26.124038748248093}, {tempbin=2, sum=1.7144124330166397}, {tempbin=3, sum=1.948241094644651}, {tempbin=4, sum=0.6692152371585248}, {tempbin=5, sum=1.0394527430998797}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,Minnetonka,"{groups=[{tempbin=1, sum=11.33739712479762}, {tempbin=2, sum=6.476222760435456}, {tempbin=3, sum=4.734827336880295}, {tempbin=4, sum=1.0632651305390464}, {tempbin=5, sum=2.3239943690997102}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,Jordan,"{groups=[{tempbin=1, sum=0.6408317294101882}, {tempbin=2, sum=0.39517638302004554}, {tempbin=3, sum=0.9143703717926357}, {tempbin=4, sum=0.4932648079891481}, {tempbin=5, sum=0.6002175272939804}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,Medicine Lake,"{groups=[{tempbin=1, sum=0.10614938044822993}, {tempbin=2, sum=0.04078869325257569}, {tempbin=3, sum=0.011549147414666743}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,Shorewood,"{groups=[{tempbin=1, sum=3.683118228522892}, {tempbin=2, sum=0.6234445853892855}, {tempbin=3, sum=0.39627109611584516}, {tempbin=4, sum=0.09426791680598139}, {tempbin=5, sum=0.05390329735090944}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,Lilydale,"{groups=[{tempbin=1, sum=0.4481200697781}, {tempbin=2, sum=0.044055632166723646}, {tempbin=3, sum=0.06891733769644769}, {tempbin=4, sum=0.031504704846954334}, {tempbin=5, sum=0.029535634390155035}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,Landfall,"{groups=[{tempbin=1, sum=7.377381241699219E-4}, {tempbin=2, sum=0.002459172279528809}, {tempbin=3, sum=0.02532929577121582}, {tempbin=4, sum=0.009344934021972656}, {tempbin=5, sum=0.02139527493863526}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,Medina,"{groups=[{tempbin=1, sum=21.178840818780152}, {tempbin=2, sum=1.1257581309645175}, {tempbin=3, sum=1.0498547802034417}, {tempbin=4, sum=0.21482741668309832}, {tempbin=5, sum=0.1082726619645082}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,Lake Elmo,"{groups=[{tempbin=1, sum=18.395639483932683}, {tempbin=2, sum=2.102644637439601}, {tempbin=3, sum=1.4396008397897804}, {tempbin=4, sum=0.2200102502288822}, {tempbin=5, sum=0.07941911568969721}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,Lake St. Croix Beach,"{groups=[{tempbin=1, sum=0.29253810024805316}, {tempbin=2, sum=0.16729913213964848}, {tempbin=3, sum=0.09496328877383416}, {tempbin=4, sum=0.0024601665388732912}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,May Twp.,"{groups=[{tempbin=1, sum=31.46911612655834}, {tempbin=2, sum=1.3618326903865825}, {tempbin=3, sum=0.45496685017265653}, {tempbin=4, sum=0.029655003977929674}, {tempbin=5, sum=0.024018407019854738}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,Greenvale Twp.,"{groups=[{tempbin=1, sum=26.803323119682624}, {tempbin=2, sum=0.4459079728427144}, {tempbin=3, sum=0.1845434127978145}, {tempbin=4, sum=0.011641249632568356}, {tempbin=5, sum=0.0032192956729248045}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,Carver,"{groups=[{tempbin=1, sum=2.740549347722083}, {tempbin=2, sum=0.3663763641231318}, {tempbin=3, sum=0.6421955924059417}, {tempbin=4, sum=0.2916215345971818}, {tempbin=5, sum=0.18602376186192648}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,Scandia,"{groups=[{tempbin=1, sum=34.16318765635574}, {tempbin=2, sum=0.4252316792365163}, {tempbin=3, sum=0.14015452908191506}, {tempbin=4, sum=0.02347723472926027}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,Dahlgren Twp.,"{groups=[{tempbin=1, sum=31.311204870194842}, {tempbin=2, sum=1.4703112259188251}, {tempbin=3, sum=0.7451876338828375}, {tempbin=4, sum=0.10511054773928831}, {tempbin=5, sum=0.06366427585043336}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,Hampton,"{groups=[{tempbin=1, sum=0.9951314676525957}, {tempbin=2, sum=0.08608094940042098}, {tempbin=3, sum=0.15905025433904993}, {tempbin=4, sum=0.0027210872112670894}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,Cologne,"{groups=[{tempbin=1, sum=0.9825528427951359}, {tempbin=2, sum=0.2074617960087522}, {tempbin=3, sum=0.4094872215376496}, {tempbin=4, sum=0.12555422186907367}, {tempbin=5, sum=0.04415679677658685}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,New Brighton,"{groups=[{tempbin=1, sum=0.9557961036987853}, {tempbin=2, sum=0.864125636183627}, {tempbin=3, sum=2.9558362392886153}, {tempbin=4, sum=0.6924036220271322}, {tempbin=5, sum=1.0871131626152084}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,Woodland,"{groups=[{tempbin=1, sum=0.508070342693245}, {tempbin=2, sum=0.020657728167736828}, {tempbin=3, sum=0.00983679735525512}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,Birchwood Village,"{groups=[{tempbin=1, sum=0.3078017231604677}, {tempbin=2, sum=0.013991442971923836}, {tempbin=3, sum=0.001472792023828125}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,Afton,"{groups=[{tempbin=1, sum=23.969652913032252}, {tempbin=2, sum=0.6692480381492295}, {tempbin=3, sum=0.24923591821790686}, {tempbin=4, sum=0.04378191486212781}, {tempbin=5, sum=0.027547402141955585}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,West Lakeland Twp.,"{groups=[{tempbin=1, sum=10.362250895426058}, {tempbin=2, sum=0.9509641236580653}, {tempbin=3, sum=0.6789157380795416}, {tempbin=4, sum=0.09663127763054837}, {tempbin=5, sum=0.20676264408325154}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,Laketown Twp.,"{groups=[{tempbin=1, sum=22.00489490212948}, {tempbin=2, sum=1.1805146936913768}, {tempbin=3, sum=0.40098472750447905}, {tempbin=4, sum=0.07732347145367444}, {tempbin=5, sum=0.22481765659764374}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,Lauderdale,"{groups=[{tempbin=1, sum=0.016956720075530996}, {tempbin=2, sum=0.01892072198007204}, {tempbin=3, sum=0.20469039636665123}, {tempbin=4, sum=0.06094314904883427}, {tempbin=5, sum=0.12188910726738296}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,Helena Twp.,"{groups=[{tempbin=1, sum=29.658719557173825}, {tempbin=2, sum=1.1362383137748744}, {tempbin=3, sum=0.6602006777175673}, {tempbin=4, sum=0.08289723044822388}, {tempbin=5, sum=0.004207099106799316}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,Ramsey,"{groups=[{tempbin=1, sum=16.456753233006754}, {tempbin=2, sum=4.278294568230956}, {tempbin=3, sum=4.575360138632636}, {tempbin=4, sum=1.1361909632428941}, {tempbin=5, sum=1.2089717599702858}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,Chanhassen,"{groups=[{tempbin=1, sum=9.782988973156392}, {tempbin=2, sum=3.38777888843325}, {tempbin=3, sum=4.407100770443507}, {tempbin=4, sum=0.977161349017083}, {tempbin=5, sum=1.3461525304976292}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,St. Paul Park,"{groups=[{tempbin=1, sum=1.2947557163678953}, {tempbin=2, sum=0.30846784883098716}, {tempbin=3, sum=1.2607422586661305}, {tempbin=4, sum=0.21065545979313294}, {tempbin=5, sum=0.12317646656535627}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,New Prague,"{groups=[{tempbin=1, sum=0.4258610855574844}, {tempbin=2, sum=0.23521345586735265}, {tempbin=3, sum=0.8710616021904625}, {tempbin=4, sum=0.3295634852371388}, {tempbin=5, sum=0.36868401793350236}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,Maplewood,"{groups=[{tempbin=1, sum=5.563104552630458}, {tempbin=2, sum=3.0706080439614634}, {tempbin=3, sum=5.24984105154095}, {tempbin=4, sum=1.0858893556505982}, {tempbin=5, sum=1.9471241373436663}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,Marshan Twp.,"{groups=[{tempbin=1, sum=29.745088637658743}, {tempbin=2, sum=1.4404664308851003}, {tempbin=3, sum=1.9426520361783648}, {tempbin=4, sum=0.5668070003499583}, {tempbin=5, sum=0.7200198280892957}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,Grant,"{groups=[{tempbin=1, sum=23.2333610358531}, {tempbin=2, sum=1.0607061123847479}, {tempbin=3, sum=0.5123702696521754}, {tempbin=4, sum=0.051516226017883304}, {tempbin=5, sum=0.03556017029558713}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,Bloomington,"{groups=[{tempbin=1, sum=8.69066486281604}, {tempbin=2, sum=2.2761842163328083}, {tempbin=3, sum=10.606711874151284}, {tempbin=4, sum=5.103483753989681}, {tempbin=5, sum=7.654267219860883}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,Richfield,"{groups=[{tempbin=1, sum=0.20757215250395428}, {tempbin=2, sum=0.09971910882213149}, {tempbin=3, sum=1.3574741891543705}, {tempbin=4, sum=2.499737159443899}, {tempbin=5, sum=2.5564227745549655}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,Belle Plaine,"{groups=[{tempbin=1, sum=2.732819634040842}, {tempbin=2, sum=0.516643404937924}, {tempbin=3, sum=1.168599551614117}, {tempbin=4, sum=0.7264099587242612}, {tempbin=5, sum=0.7219368525771676}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,Greenfield,"{groups=[{tempbin=1, sum=19.277442319972526}, {tempbin=2, sum=0.4221645802292725}, {tempbin=3, sum=0.15946063400566468}, {tempbin=4, sum=0.02674016182309571}, {tempbin=5, sum=0.016438467712170415}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,Dayton,"{groups=[{tempbin=1, sum=19.532669202482154}, {tempbin=2, sum=1.240336386870011}, {tempbin=3, sum=1.0062738259374089}, {tempbin=4, sum=0.11435098732168567}, {tempbin=5, sum=0.052184230956628365}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,Castle Rock Twp.,"{groups=[{tempbin=1, sum=32.51760298297971}, {tempbin=2, sum=1.3659569101732312}, {tempbin=3, sum=1.085421048800537}, {tempbin=4, sum=0.29787769081802046}, {tempbin=5, sum=0.09426822664746112}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,Minnetonka Beach,{groups=[]},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,Waterford Twp.,"{groups=[{tempbin=1, sum=13.492874275432017}, {tempbin=2, sum=0.5388165095746388}, {tempbin=3, sum=0.32457459025865426}, {tempbin=4, sum=0.061191920579480044}, {tempbin=5, sum=0.17243413618112216}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,San Francisco Twp.,"{groups=[{tempbin=1, sum=21.002772435693107}, {tempbin=2, sum=1.0823962987702398}, {tempbin=3, sum=0.6669667129936724}, {tempbin=4, sum=0.05630259168050524}, {tempbin=5, sum=0.032597948458026146}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,Coates,"{groups=[{tempbin=1, sum=1.1533307361940033}, {tempbin=2, sum=0.1281447625762572}, {tempbin=3, sum=0.16567731411729147}, {tempbin=4, sum=0.026664925133770737}, {tempbin=5, sum=0.03999899239343258}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,Deephaven,"{groups=[{tempbin=1, sum=1.7540610032511261}, {tempbin=2, sum=0.3011013901377136}, {tempbin=3, sum=0.16161502082102072}, {tempbin=4, sum=0.028288552198644994}, {tempbin=5, sum=0.01967711297135008}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
