system:index,CTU_NAME,sq_miles,.geo
00000000000000000000,Anoka,"{groups=[{tempbin=1, sum=0.5955638545205767}, {tempbin=2, sum=0.7290957843585584}, {tempbin=3, sum=3.1415730486093247}, {tempbin=4, sum=1.4542276211755183}, {tempbin=5, sum=0.7787346652281556}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,"{groups=[{tempbin=1, sum=3.304568771843865}, {tempbin=2, sum=2.637480241142525}, {tempbin=3, sum=4.079432367530224}, {tempbin=4, sum=0.4850272040304771}, {tempbin=5, sum=0.0341062459635498}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,"{groups=[{tempbin=1, sum=10.888245712778222}, {tempbin=2, sum=1.7800946852845894}, {tempbin=3, sum=1.8403728412056157}, {tempbin=4, sum=0.13375851122318105}, {tempbin=5, sum=0.038322728426788306}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,"{groups=[{tempbin=1, sum=13.62457864765021}, {tempbin=2, sum=0.7204249176863274}, {tempbin=3, sum=0.24696379887500647}, {tempbin=4, sum=0.009908293700830078}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,"{groups=[{tempbin=1, sum=1.0471788091448015}, {tempbin=2, sum=2.992064107886253}, {tempbin=3, sum=4.861329998717889}, {tempbin=4, sum=0.8791147096403606}, {tempbin=5, sum=0.3720694403425225}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,"{groups=[{tempbin=1, sum=2.1226157968562593}, {tempbin=2, sum=2.225753342253174}, {tempbin=3, sum=3.8107636139214565}, {tempbin=4, sum=0.7444234322846198}, {tempbin=5, sum=0.30781828092134556}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,"{groups=[{tempbin=1, sum=0.06771165202803942}, {tempbin=2, sum=0.05004922643668205}, {tempbin=3, sum=0.10476369881987942}, {tempbin=4, sum=0.02944086475006712}, {tempbin=5, sum=0.03140281500347897}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,"{groups=[{tempbin=1, sum=17.7375554866813}, {tempbin=2, sum=9.034756779608092}, {tempbin=3, sum=4.610522664811455}, {tempbin=4, sum=0.04934580730966186}, {tempbin=5, sum=0.005180901254791261}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,"{groups=[{tempbin=1, sum=6.812253911899094}, {tempbin=2, sum=9.17926690158831}, {tempbin=3, sum=11.637111263219419}, {tempbin=4, sum=2.5705582709560684}, {tempbin=5, sum=1.2207354329013416}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,"{groups=[{tempbin=1, sum=1.270266973517013}, {tempbin=2, sum=2.278525992673332}, {tempbin=3, sum=3.7089253308442682}, {tempbin=4, sum=0.39935229415938694}, {tempbin=5, sum=0.07657749425148923}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
